Yue Long Lin and Xiu Yin Zhang and Zhi-Xia Du and Quan Wei Lin,High-Efficiency Microwave Rectifier With Extended Operating Bandwidth,2018
Byoung-Kwan Jeon and Seong-Kwan Hong and Oh-Kyong Kwon,A Low-Power 12-Bit Extended Counting ADC Without Calibration for CMOS Image Sensors,2018
Ji-Yong Jeong and Jae-Sung An and Sung-Jin Jung and Seong-Kwan Hong and Oh-Kyong Kwon,A Low-Power Analog Delay Line Using a Current-Splitting Method for 3-D Ultrasound Imaging Systems,2018
A. R. Aravinth Kumar and Bibhu Datta Sahoo and Ashudeb Dutta,A Wideband 2–5 GHz Noise Canceling Subthreshold Low Noise Amplifier,2018
Byunghun Lee and Maysam Ghovanloo,An Adaptive Averaging Low Noise Front-End for Central and Peripheral Nerve Recording,2018
Sagar Mukherjee and Arka Dutta and Swarnil Roy and Chandan Kumar Sarkar,Implementation of Low Power Programmable Flash ADC Using IDUDGMOSFET,2018
Jihai Duan and Zhiyong Zhu and Jinli Deng and Weilin Xu and Baolin Wei,A Novel 0.8-V 79-nW CMOS-Only Voltage Reference With −55-dB PSRR @ 100 Hz,2018
Young-Kyun Cho and Myung-Don Kim and Choul-Young Kim,A Low-Power Continuous-Time Delta-Sigma Modulator Using a Resonant Single Op-Amp Third-Order Loop Filter,2018
Jialin Zhao and Yunzhi Dong and Wenhua Yang and Hajime Shibata and Prawal Shrestha and Zhao Li and Trevor Caldwell and Jose B. Da Silva and Jeffrey Gealow,A −89-dBc IMD3 DAC Sub-System in a 465-MHz BW CT Delta-Sigma ADC Using a Power and Area Efficient Calibration Technique,2018
Yu Fei Pan and Shao Yong Zheng and Yong Mei Pan and Yuan Xin Li and Yun Liang Long,A Frequency Tunable Quadrature Coupler With Wide Tuning Range of Center Frequency and Wide Operating Bandwidth,2018
Bo Wang and Man-Kay Law and Chi-Ying Tsui and Amine Bermak,A 10.6 pJ·K2 Resolution FoM Temperature Sensor Using Astable Multivibrator,2018
Won-Jin Eom and Kihyun Kwon and Kwangmuk Lee and Jae Joon Kim,A Supply-Scalable Dual-Rate Dual-Mode DAC With an Adaptive Swing Control,2018
Lei Wang and Kok Hin Teng and Yong Lian and Chun Huat Heng,A$4\times4$IR UWB Timed-Array Radar Based on 16-Channel Transmitter and Sampling Capacitor Reused Receiver,2018
O. Saatlou and M. Omair Ahmad and M. N. S. Swamy,Spectral Efficiency Maximization of Multiuser Massive MIMO Systems With Finite-Dimensional Channel via Control of Users’ Power,2018
M. H. Maktoomi and D. Banerjee and M. S. in,An Enhanced Frequency-Ratio Coupled-Line Dual-Frequency Wilkinson Power Divider,2018
Cunlai Pu and Wei Cui and Jiexin Wu and Jian Yang,Bufferless Transmission in Complex Networks,2018
Dimitra Psychogiou and Roberto Gómez-García and Dimitrios Peroulis,RF Wide-Band Bandpass Filter With Dynamic In-Band Multi-Interference Suppression Capability,2018
Majid Jalalifar and Gyung-Su Byun,A Wide-Range Low-Power PLL-Based PI Multiphase Generator Using an Adaptive Frequency Tracking Technique,2018
Wentao Jiang and Satyajit Hemant Chincholkar and Chok-You Chan,Investigation of a Voltage-Mode Controller for a dc-dc Multilevel Boost Converter,2018
Yanling Wei and Ju H. Park and Jianbin Qiu and Hoyoul Jung,Reliable Output Feedback Control for Piecewise Affine Systems With Markov-Type Sensor Failure,2018
Lotfi Beghou and Francois Costa,EMI-Based Current and Voltage Sensing for the Control of Power Electronic Converters,2018
Reza Erfani and Fatemeh Marefat and Amir M. Sodagar and Pedram Mohseni,Modeling and Experimental Validation of a Capacitive Link for Wireless Power Transfer to Biomedical Implants,2018
Martin Kumm and Oscar Gustafsson and Mario Garrido and Peter Zipf,Optimal Single Constant Multiplication Using Ternary Adders,2018
Weiwei Shan and Xinchao Shang and Longxing Shi and Wentao Dai and Jun Yang,Timing Error Prediction AVFS With Detection Window Tuning for Wide-Operating-Range ICs,2018
Behzad Zeinali and Dimitrios Karsinos and Farshad Moradi,Progressive Scaled STT-RAM for Approximate Computing in Multimedia Applications,2018
Sunwoong Kim and Hyuk-Jae Lee,Optimized Interpolation and Cached Data Access in LUT-Based RGB-to-RGBW Conversion,2018
Zhijian Chen and Jiahui Luo and Kaiwen Lin and Jiaquan Wu and Taotao Zhu and Xiaoyan Xiang and Jianyi Meng,An Energy-Efficient ECG Processor With Weak-Strong Hybrid Classifier for Arrhythmia Detection,2018
Dawei Zhao and Bo Gao and Yaofei Wang and Lianhai Wang and Zhen Wang,Optimal Dismantling of Interdependent Networks Based on Inverse Explosive Percolation,2018
Hamid Radmanesh and Mojtaba Hajiabadi,Recursive Maximum Correntropy Learning Algorithm With Adaptive Kernel Size,2018
Ji Zhao and Hongbin Zhang and Gang Wang,Projected Kernel Recursive Maximum Correntropy,2018
Hui Wang and Patrick P. Mercier,A Current-Mode Capacitively-Coupled Chopper Instrumentation Amplifier for Biopotential Recording With Resistive or Capacitive Electrodes,2018
Muthupandian Cheralathan and Martin Claus and Stefan Blawid,Projected Tolerances of Carbon Nanotube Current-Mode Logic to Process Variability,2018
Zushuai Xie and Jianhui Wu and Chao Chen,A Compact Low-Power Biquad for Active- $RC$  Complex Filter,2018
Nathan Whitehead and Yixin Song and Shiuh-Hua Wood Chiang,Direct Measurement of High-Gain and Complementary Charge-Steering Amplifiers,2018
Guangxu Shen and Wenquan Che and Quan Xue and Wanchen Yang,Characteristics of Dual Composite Right/Left-Handed Unit Cell and Its Applications to Bandpass Filter Design,2018
Hyun-A Ahn and Seong-Kwan Hong and Oh-Kyong Kwon,An Active Matrix Micro-Pixelated LED Display Driver for High Luminance Uniformity Using Resistance Mismatch Compensation Method,2018
Avish Kosari and Hun-Seok Kim and David D. Wentzloff,A MURS Band Digital Quadrature Transmitter With Class-B I/Q Cell Sharing for Long Range IoT Applications,2018
Min Xu and Zhaowen Hu and Congwei Liao and Jianyuan Ke and Lianwen Deng,A High Performance InGaZnO Thin-Film Transistors Integrated Amplifier Circuit for Capacitance Sensing,2018
Hamed Abbasizadeh and Imran Ali and Behnam Samadpoor Rikan and Dong-Soo Lee and Younggun Pu and Sang-Sun Yoo and Minjae Lee and Keum Cheol Hwang and Youngoo Yang and Kang-Yoon Lee,260- $\mu$ W DCO With Constant Current Over PVT Variations Using FLL and Adjustable LDO,2018
