Antoine Bonnetat and Jean-Michel Hodé and Guillaume Ferré and Dominique Dallet,An Adaptive All-Digital Blind Compensation of Dual-TIADC Frequency-Response Mismatch Based on Complex Signal Correlations,2015
Tohid Moosazadeh and Mohammad Yavari,A Calibration Technique for Pipelined ADCs Using Self-Measurement and Histogram-Based Test Methods,2015
Dong Wang and John P. Keane and Paul J. Hurst and Stephen H. Lewis,An Integrator-Based Pipelined ADC With Digital Calibration,2015
Sungchun Jang and Sungwoo Kim and Sang-Hyeok Chu and Gyu-Seob Jeong and Yoonsoo Kim and Deog-Kyoon Jeong,An Optimum Loop Gain Tracking All-Digital PLL Using Autocorrelation of Bang–Bang Phase-Frequency Detection,2015
Mohammad Ali Montazerolghaem and Tohid Moosazadeh and Mohammad Yavari,A Predetermined LMS Digital Background Calibration Technique for Pipelined ADCs,2015
Yesung Kang and Jaehyouk Choi and Youngmin Kim,A Wide-Range On-Chip Leakage Sensor Using a Current–Frequency Converting Technique in 65-nm Technology Node,2015
Yuan-Ho Chen,Area-Efficient Fixed-Width Squarer With Dynamic Error-Compensation Circuit,2015
Tiben Che and Jingwei Xu and Gwan Choi,Accelerated Dual-Path Asynchronous Circuit,2015
Sergio D. Muñoz and Javier Hormigo,High-Throughput FPGA Implementation of QR Decomposition,2015
Mina Kim and Christopher M. Twigg,A Ramp Converter Approach to Rank Modulation,2015
Choon Ki Ahn and Haranath Kar,Passivity and Finite-Gain Performance for Two-Dimensional Digital Filters: The FM LSS Model Case,2015
Zhen-Guo Ma and Xiao-Bo Yin and Feng Yu,A Novel Memory-Based FFT Architecture for Real-Valued Signals Based on a Radix-2 Decimation-In-Frequency Algorithm,2015
Keunsang Lee and Yonghyun Baek and Youngcheol Park,Nonlinear Acoustic Echo Cancellation Using a Nonlinear Postprocessor With a Linearly Constrained Affine Projection Algorithm,2015
Alberto Oliveri and Martin Reimers and Marco Storace,Automatic Domain Partitioning of Piecewise-Affine Simplicial Functions Implementing Model Predictive Controllers,2015
Lars Keuninckx and Guy Van der Sande and Jan Danckaert,Simple Two-Transistor Single-Supply Resistor–Capacitor Chaotic Oscillator,2015
Luiz Antonio Jacyntho and Marcelo Carvalho Minhoto Teixeira and Edvaldo Assunção and Rodrigo Cardim and Roberto Kawakami Harrop Galvão and Sillas Hadjiloucas,Identification of Fractional-Order Transfer Functions Using a Step Excitation,2015
Georges Kaddoum and Ebrahim Soujeri and Carlos Arcila and Khaled Eshteiwi,I-DCSK: An Improved Noncoherent Communication System Architecture,2015
Hyeji Kim and Injun Choi and Wooseok Byun and Jong-Yeol Lee and Ji-Hoon Kim,Distributed CRC Architecture for High-Radix Parallel Turbo Decoding in LTE-Advanced Systems,2015
